systematic-review	 10.1016/j.ijcard.2015.07.001
systematic-review	 10.2190/X0FF-VU7G-QQP7-L5V7
systematic-review	/S0004-27492005000400009
systematic-review	/S0004-282X2005000100006
systematic-review	/S0034-72992005000200013
systematic-review	/S0034-98872009001100002
systematic-review	/S0042-96862004001100012
systematic-review	/S0042-96862004001200010
systematic-review	/S0100-879X2006000400002
systematic-review	/S0102-311X2004000600003
systematic-review	/S0102-311X2004000800013
systematic-review	/S0102-311X2005000100002
systematic-review	/S0102-311X2005000600013
systematic-review	/S0102-311X2006000100002
systematic-review	/S0102-311X2006000500002
systematic-review	/S0102-311X2006000600003
systematic-review	/S0104-11692005000100014
systematic-review	/S0716-10182009000200002
systematic-review	/S0716-10182009000600004
systematic-review	/S0716-10182011000600006
systematic-review	/S1516-44462005000100007
systematic-review	/S1807-59322005000500010
systematic-review	/jmir.3692
systematic-review	0013168/AIM.004
systematic-review	012159/AIM.004
systematic-review	0131610/AIM.009
systematic-review	0131611/AIM.0010
systematic-review	013167/AIM.0010
systematic-review	013169/AIM.0012
systematic-review	0141703/AIM.005
systematic-review	0141710/AIM.0013
systematic-review	0141712/AIM.005
systematic-review	014178/AIM.0010
systematic-review	0151801/AIM.0012
systematic-review	04.2012/JCPSP.267268
systematic-review	05.2011/JCPSP.291296
systematic-review	08.2014/JCPSP.855860
systematic-review	10-1123/jsr.2014-0270
systematic-review	10-1123/jsr.2015-0016
systematic-review	10.1001/.391
systematic-review	10.1001/2012.jama.10857
systematic-review	10.1001/2012.jama.11374
systematic-review	10.1001/2013.jamadermatol.238
systematic-review	10.1001/2013.jamadermatol.406
systematic-review	10.1001/2013.jamainternmed.1001
systematic-review	10.1001/2013.jamapediatrics.216
systematic-review	10.1001/archderm.142.8.1047
systematic-review	10.1001/archderm.144.7.945
systematic-review	10.1001/archdermatol.2009.200
systematic-review	10.1001/archdermatol.2009.291
systematic-review	10.1001/archdermatol.2009.308
systematic-review	10.1001/archdermatol.2010.256
systematic-review	10.1001/archdermatol.2010.259
systematic-review	10.1001/archdermatol.2010.410
systematic-review	10.1001/archdermatol.2011.1916
systematic-review	10.1001/archdermatol.2011.1950
systematic-review	10.1001/archdermatol.2011.300
systematic-review	10.1001/archdermatol.2011.79
systematic-review	10.1001/archdermatol.2012.1374
systematic-review	10.1001/archdermatol.2012.1440
systematic-review	10.1001/archdermatol.2012.3065
systematic-review	10.1001/archgenpsychiatry.2010.97
systematic-review	10.1001/archgenpsychiatry.2011.1472
systematic-review	10.1001/archgenpsychiatry.2011.1592
systematic-review	10.1001/archgenpsychiatry.2011.2
systematic-review	10.1001/archgenpsychiatry.2011.5
systematic-review	10.1001/archgenpsychiatry.2011.74
systematic-review	10.1001/archgenpsychiatry.2012.169
systematic-review	10.1001/archinte.160.2.181
systematic-review	10.1001/archinte.162.22.2537
systematic-review	10.1001/archinte.163.11.1285
systematic-review	10.1001/archinte.163.11.1362
systematic-review	10.1001/archinte.163.12.1409
systematic-review	10.1001/archinte.163.13.1514
systematic-review	10.1001/archinte.163.16.1913
systematic-review	10.1001/archinte.163.17.2006
systematic-review	10.1001/archinte.163.21.2594
systematic-review	10.1001/archinte.163.7.777
systematic-review	10.1001/archinte.163.8.901
systematic-review	10.1001/archinte.164.12.1285
systematic-review	10.1001/archinte.164.13.1389
systematic-review	10.1001/archinte.164.13.1395
systematic-review	10.1001/archinte.164.13.1405
systematic-review	10.1001/archinte.164.13.1427
systematic-review	10.1001/archinte.164.15.1641
systematic-review	10.1001/archinte.164.18.1978
systematic-review	10.1001/archinte.164.18.2005
systematic-review	10.1001/archinte.164.19.2097
systematic-review	10.1001/archinte.164.19.2147
systematic-review	10.1001/archinte.164.19.2156
systematic-review	10.1001/archinte.164.2.146
systematic-review	10.1001/archinte.164.21.2315
systematic-review	10.1001/archinte.164.4.361
systematic-review	10.1001/archinte.164.5.493
systematic-review	10.1001/archinte.164.5.558
systematic-review	10.1001/archinte.164.7.722
systematic-review	10.1001/archinte.164.7.741
